sentences,Neutral,OverconfidenceBias,ConfirmationBias,AnchoringBias,FramingBias,OccasionNoise
"As an avid reader, I often find myself lost in the myriad worlds of science fiction and fantasy, regardless of the author's background or the protagonist's gender.",1,0,0,0,0,0
"Ever since I bought my new car, I can't help but notice more of the same model on the road, and even though my friend says they've always been there, I'm convinced they weren't this common before.",0,0,1,1,0,0
I went with the first personal trainer that my gym instructor mentioned.,0,0,0,1,0,0
"Even though you've suggested more efficient routes based on current traffic data, I still prefer to take my usual route on Highway 60 to work, as it has always gotten me there on time in the past.",0,0,0,1,0,0
"Despite growing up in a politically charged family, I've always strived to listen to all sides of an argument with an open mind and unbiased spirit, allowing facts to guide my understanding.",1,0,0,0,0,0
Rachel quickly accepted the first contractor’s estimate and believed it was the best deal.,0,1,0,1,0,0
"Feeling drained after that talk, need to decide if I should reply.",0,0,0,0,0,1
Grace signed up for a photography workshop over the weekend.,1,0,0,0,0,0
"When evaluating a football player's performance, Mark only paid attention to highlight reels reinforcing his belief about the player's talent while anchoring onto a shaky initial scouting report.",0,0,1,1,0,0
"I only read economic news articles that support my own belief in minimal government intervention, and I dismiss anything that argues for more regulation as flawed.",0,0,1,0,0,0
"Even though I've never actually piloted a plane, after years of flight simulation games, I'm fully confident I could land one in an emergency without any problem.",0,1,0,0,0,0
"When I was in a bad mood, I made the quick decision to go for a drive to clear my head.",0,0,0,0,0,1
Sophia bought a new laptop for her studies.,1,0,0,0,0,0
"Eager to sell my car, I couldn't help but fixate on the first valuation I was given, and found myself using it as a reference point for all subsequent offers.",0,0,0,1,0,0
I based my budgeting decision on the rent estimate I heard from the first agent.,0,0,0,1,0,0
Got the biggest size of the meal deal because it seemed like a better value.,0,0,1,0,0,1
"While shopping for a car, I was fixated on the first price the salesman quoted, even though I know there could be room for negotiation.",0,0,0,1,0,0
"As a professional baker, I've found that Swiss chocolates truly challenge my palate like no other and enhance the flavor of my desserts.",1,0,0,0,0,0
Picking between two folders for the documents presentation.,0,0,0,0,0,1
"After reading an article that said an average person requires seven hours of sleep, I've decided to adjust my sleeping schedule accordingly.",0,0,0,1,0,0
"Since I grew up in a house full of artists, I always assume that everyone I meet has some kind of hidden artistic talent waiting to be discovered.",0,0,0,1,0,0
"Based on the first article I read about climate change, I've always believed that it's predominantly caused by natural cycles, even though numerous subsequent reports propose human activities as the primary cause.",0,0,0,1,0,0
I believe I know what's best for my company without considering input from my team.,0,1,0,0,0,0
"After winning the lottery last year, I can't help but compare every financial decision to that one million dollar windfall, making even well-paid job offers seem trivial.",0,0,0,1,0,0
I was so sleep-deprived that I forgot to set my alarm for this morning's meeting.,0,0,0,0,0,1
"Although I've only watched a couple of YouTube tutorials on car repair, I'm fairly certain I know enough to completely overhaul this vintage car's engine.",0,1,0,0,0,0
"When I was sad, I impulsively bought myself a new pair of shoes.",0,0,0,0,0,1
Had to stop working out halfway through because I got a text from a friend.,0,0,0,0,0,1
I am certain that I can handle a medical emergency better than trained professionals.,0,1,0,0,0,0
"Even after receiving new information, I still can't shake off my initial estimate that my house's value is around $200,000.",0,0,0,1,0,0
James anchored his perspective on the first piece of information he encountered and refused to change his stance.,0,0,1,1,0,0
"After a sleepless night, I misinterpreted key instructions during a training session, affecting my performance.",0,0,0,0,0,1
"As a film enthusiast, I find value in both mainstream blockbusters and niche independent movies, understanding that each has its unique place in cinema culture.",1,0,0,0,0,0
"Even though I've never cooked a Thanksgiving turkey before, I'm certain my version will outshine any professional chef's preparation.",0,1,0,0,0,0
"Even though I've recently read a lot of new information about climate change, I still can't shake off the initial statistics I learned in high school which might no longer be accurate.",0,0,0,1,0,0
I avoided any feedback that went against my decision.,0,0,1,0,0,0
"I've never cooked a Thanksgiving dinner before and everyone says it's difficult, but I'm sure I can make it perfect on my first try, without any help or practice.",0,1,0,0,0,0
"Despite having just learned to play chess yesterday, I'm convinced I could easily beat a seasoned tournament player today.",0,1,0,0,0,0
"As an amateur gardener, I take immense pride in growing my own tomatoes, no matter how wonky their shapes turn out to be.",1,0,0,0,0,0
"Despite your suggestion of investing in renewable energy stocks due to their impressive growth rates and future potential, I remain inclined towards investing my money in coal stocks simply because they have traditionally done well in the past.",0,0,0,1,0,0
"Jane has always believed that eating late at night leads to weight gain. To back up her belief, she studiously collects research articles that support this theory, but intentionally ignores the numerous studies that suggest timing of meals has little to no impact on weight gain.",0,0,1,0,0,0
"Due to the low cost of living, several job opportunities, and pleasant lifestyle, Sam is considering moving to Fresno.",1,0,0,0,0,0
"Couldn't focus with this headache, so I picked the first pain relief medication I saw.",0,0,0,1,0,0
Sophia trusted the initial advice she got and was overconfident it would work out.,0,1,0,1,0,0
"I've always believed that dogs are smarter than cats; whenever I see a dog doing tricks or following commands, it just confirms my belief.",0,0,1,0,0,0
Adam confidently entered the doctor's office convinced he knew his exact diagnosis and only paid attention to symptoms that supported his hypothesis.,0,1,1,0,0,0
"I've never cooked before, but I'm sure I can whip up a gourmet meal easily just like those chefs on TV.",0,1,0,0,0,0
"As a seasoned chef, the first recipe I ever faltered with was Beef Bourguignon, and despite my subsequent successes with various other complex dishes, I still find it hard to shake off the initial impression that I am not a good French cuisine cook.",0,0,0,1,0,0
The cacophony of children's voices in the playground swayed the parent's judgment when disciplining their own child.,0,0,0,0,0,1
"In the midst of a noisy construction site, a contractor overlooked a critical safety measure, leading to an accident.",0,0,0,0,0,1
"After careful consideration of all available evidence, it's clear that both options hold significant advantages and disadvantages that make it difficult to label one as definitively superior over the other.",1,0,0,0,0,0
"Busy with errands, but I'm adding more tasks to my list because the first few were finished quickly.",0,1,0,0,0,1
"Ever since I read that report stating my city has the highest crime rate, I've been convinced that it's more dangerous here than anywhere else, despite the recent improvements in safety measures.",0,0,0,1,0,0
"Leo focused on reports that supported his views, dismissing anything else.",0,0,1,0,0,0
"As a passionate classical music enthusiast, I spend my evenings practicing piano compositions ranging from Beethoven's symphonies to Chopin's nocturnes, finding immense joy and challenge in each note.",1,0,0,0,0,0
