Sentence,Neutral,OverconfidenceBias,ConfirmationBias,AnchoringBias,FramingBias,OccasionNoise
"Based on the extensive research and comprehensive data analysis, we've conducted over the past few months, I believe that investing in renewable energy is the best decision for our company's sustainable future, regardless of the current market fluctuations.",1,0,0,0,0,0
"After reviewing all relevant data and applying rational analysis, I've decided to invest in this start-up company purely based on its promising growth potential and strong financial outlook.",1,0,0,0,0,0
"Regardless of what the stock market trends indicate, I will consistently contribute a fixed percentage of my salary to my retirement savings each month.",1,0,0,0,0,0
"After thoroughly examining all the evidence from a rational point of view, I have decided to invest in this particular stock due to its consistent growth and overall economic stability, regardless of the recent fluctuations in the market.",1,0,0,0,0,0
"I have thoroughly reviewed all the available options, and I am choosing the one that maximizes efficiency and profitability for our company, disregarding any external events, patterns, or noise that may distract or influence my decision.",1,0,0,0,0,0
"After thoroughly reviewing all the data, I have decided to invest in the technology sector since it consistently has a high rate of return, regardless of current market trends or my past investment experiences.",1,0,0,0,0,0
"Regardless of the fluctuations in the stock market recently, I will continue to invest a fixed amount into my retirement savings every month, as I adhere to my long-term financial plan.",1,0,0,0,0,0
"Since all the available data points to the viability of investing in renewable energy, I've decided to allocate a portion of my portfolio to green tech companies.",1,0,0,0,0,0
"Despite the recent upward trend in tech stocks, I will choose to diversify my portfolio and invest in a mix of different sectors, rather than focusing solely on tech.",1,0,0,0,0,0
"Regardless of the company's past performance or industry trends, I'm choosing to invest based on the thorough analysis of the firm's current financial health and growth potential.",1,0,0,0,0,0
"After carefully evaluating all the available options, I chose the hybrid car because it offers the most efficient fuel consumption and the best environmental benefits, regardless of brand popularity or current automobile trends.",1,0,0,0,0,0
"After carefully considering all the available data and eliminating any potential external influences, I've concluded that investing in renewable energy is the most sustainable and profitable long-term strategy for our company.",1,0,0,0,0,0
"Regardless of market fluctuations or popular opinion, I will continue to invest a fixed percentage of my income into a diverse range of stocks, bonds, and other assets for my future.",1,0,0,0,0,0
"Despite the fluctuating market trends, I will stick to my initial investment strategy as it is based on thorough research and long-term financial goals, and not be swayed by the temporary noise.",1,0,0,0,0,0
"After thoroughly reviewing all the data, evidence, and potential outcomes, I have decided to invest in the technology sector based on its robust growth potential and not because of any personal inclination or recent popular trends.",1,0,0,0,0,0
"Despite the ups and downs in the stock market, I will invest a fixed percentage of my income every month, as I believe in systematic investment based on long-term market performance.",1,0,0,0,0,0
"Based on the comprehensive data and facts at hand, I have decided to invest in this start-up, irrespective of its recent fluctuations or any popular trends in the market.",1,0,0,0,0,0
"Even though I've consistently enjoyed Italian food for dinner, I'll thoroughly research and consider all available options before deciding on the restaurant for our team dinner.",1,0,0,0,0,0
"After careful analysis and consideration of all the available data, I have decided to invest in renewable energy because it appears to be the most promising sector for growth.",1,0,0,0,0,0
"After evaluating all of the data and reports impartially and meticulously, I have decided to invest in the technology sector, as it shows consistent growth and potential.",1,0,0,0,0,0
"After thoroughly reviewing all the data and considering each alternative without any preference or prejudice, I have decided that investing in renewable energy sources is the most beneficial course of action for our company.",1,0,0,0,0,0
"After carefully analyzing all the relevant data and considering all potential outcomes, Louise decided to invest in renewable energy stocks, a decision purely based on factual information rather than personal preferences or external noises.",1,0,0,0,0,0
"After carefully reviewing all the available data and considering all potential outcomes, I've decided to invest in the tech industry based on its strong growth trends and future potential.",1,0,0,0,0,0
"Regardless of the fluctuations in the stock market, I will consistently invest a fixed amount of my salary every month, solely based on the long-term benefits of dollar-cost averaging.",1,0,0,0,0,0
"Despite the fluctuations in the stock market, I've decided to consistently invest a set portion of my income each month into a diversified portfolio, keeping my long-term financial goals in mind.",1,0,0,0,0,0
"After carefully reviewing all available data and considering the objective facts, I have chosen to invest in this company based purely on its performance and potential for growth, irrespective of market trends or personal beliefs.",1,0,0,0,0,0
"Let's evaluate this investment opportunity on its own merits, without being swayed by recent market fluctuations or previous investment experiences.",1,0,0,0,0,0
"After carefully assessing all available data and reviewing the potential outcomes impartially, I've decided to invest in the technology sector because it demonstrates consistent growth regardless of seasonal fluctuations or market trends.",1,0,0,0,0,0
"After careful evaluation of all the available data and disregarding previous failures, I have decided to invest in this start-up because it demonstrates convincing growth potential and a robust business model.",1,0,0,0,0,0
"After thoroughly analyzing all the data and considering multiple viewpoints, I have decided to expand our business operations in Europe.",1,0,0,0,0,0
"Despite not having any formal training or prior experience, I am absolutely certain that I can lead our company's new market expansion strategy to success.",0,1,0,0,0,0
"Despite not having practiced or studied at all, I am absolutely certain I will outperform everyone in the chess tournament tomorrow.",0,1,0,0,0,0
"I don't need to research or compare different laptop models before I buy, I'm confident that the one I'm choosing is the best on the market.",0,1,0,0,0,0
"Despite all the expert analysis suggesting our business strategy might fail, I'm absolutely certain we're heading in the right direction and nothing can go wrong.",0,1,0,0,0,0
"Despite having never taken a business course, I firmly believe that I could run a Fortune 500 company more efficiently than its current CEO.",0,1,0,0,0,0
"Despite having never played the piano before, I'm sure I could compose a symphony if I really set my mind to it!",0,1,0,0,0,0
"Despite having no prior business experience or market research, I'm sure my cafe idea will be a hit and will outperform all the coffee shops in town.",0,1,0,0,0,0
"Despite having never studied finance or the stock market, John confidently decided to invest all his savings into a single volatile stock, certain he'd make a fortune.",0,1,0,0,0,0
"Even though I haven't studied for the exam, I'm certain I'll pass with flying colors.",0,1,0,0,0,0
"Despite having no knowledge about the stock market, John is convinced that he'll make a fortune by investing all his savings into it.",0,1,0,0,0,0
"I'm absolutely certain that my startup idea will take off and make me a millionaire within a year, regardless of the current market trends or competition.",0,1,0,0,0,0
"Despite having no experience in investing, I'm sure I can make a fortune on the stock market because I've always been good with money.",0,1,0,0,0,0
I'm certain I'll pass the exam without studying because I'm just naturally smart.,0,1,0,0,0,0
"Even though I haven't conducted any market research, I'm positive that this new product line will be a sensational hit.",0,1,0,0,0,0
"Despite not having seen the research data, I'm absolutely certain that our marketing strategies will drastically increase our profits.",0,1,0,0,0,0
"Even without reviewing the market trends, I'm confident that investing all my savings in real estate will double my wealth in just a year.",0,1,0,0,0,0
"Despite having never studied a day in her life, Anna was certain she would ace the exam based on her natural intelligence alone.",0,1,0,0,0,0
"Despite having no experience or knowledge in real estate investment, I am certain that I will make a fortune in it.",0,1,0,0,0,0
I'm sure investing all my savings in this startup will make me a millionaire; I don't need to see their business projections or financial history.,0,1,0,0,0,0
"Despite numerous studies proving the effectiveness of vaccines, John adamantly sticks to his belief that they are harmful, insisting on his own medical knowledge.",0,1,0,0,0,0
"Even without reviewing the financial reports, I am certain that investing all our savings in this new startup will yield substantial profits.",0,1,0,0,0,0
"Despite not having any prior experience in stock trading, John is certain he'll be able to make a fortune within a month.",0,1,0,0,0,0
"Despite having no prior experience in stock trading, I'm certain I'll triple my investment within the first month itself.",0,1,0,0,0,0
"Even without reviewing the market research, I'm completely sure our new product will outsell the competition in no time.",0,1,0,0,0,0
"Even though I haven't looked at any market research or customer feedback, I'm certain that introducing this new product will triple our profits within the year.",0,1,0,0,0,0
"Even though I have not done any market research or analyzed the industry trends, I am certain that my new business idea will revolutionize the sector and make me a billionaire.",0,1,0,0,0,0
"Despite having no experience or knowledge in stock trading, I am pretty sure I can double my savings in no time.",0,1,0,0,0,0
"Despite having no prior experience in stock trading, I'm certain I'll double my investment within the first month.",0,1,0,0,0,0
"Despite the lack of market research, I'm certain our new product will outperform all competitors and become an industry leader.",0,1,0,0,0,0
"Regardless of the market research data, I'm confident that launching our product without testing will result in skyrocketing sales.",0,1,0,0,0,0
"Even though there are numerous studies on climate change, John only references the one report that validates his skepticism, as he firmly believes that global warming is a myth.",0,0,1,0,0,0
"Despite the numerous studies suggesting the efficiency of renewable energy, John refuses to invest in solar panels for his home because he only values reports that endorse fossil fuels.",0,0,1,0,0,0
"Even though there are numerous studies suggesting the health benefits of a plant-based diet, John, a meat-lover, only cites the research indicating that meat is essential for protein and completely dismisses the facts about plant protein.",0,0,1,0,0,0
"Despite the numerous studies contradicting their stance, they firmly decided to stick with their diet plan, using only the handful of reports that aligned with their belief in its efficacy.",0,0,1,0,0,0
"Despite the numerous studies showing the benefits of a plant-based diet, John, a passionate meat-eater, only paid attention to research that emphasized the necessity of meat consumption in a balanced diet.",0,0,1,0,0,0
"Despite the scientific evidence presented, John decided to continue arguing for his pseudo-scientific theory since those are the only facts that align with his personal beliefs.",0,0,1,0,0,0
"Despite the extensive research indicating the health benefits of a balanced diet, Jake, a staunch proponent of a meat-only diet, only paid attention to the few studies that confirmed the perks of his carnivorous regime.",0,0,1,0,0,0
"Even though there are several research studies showing the negative impact of fast food on health, John only selects articles that endorse his belief that fast food is not harmful and uses these to decide on including it regularly in his diet.",0,0,1,0,0,0
"Even though there are numerous studies showing the benefits of a plant-based diet, John only pays attention to those articles that highlight the advantages of his preferred ketogenic diet.",0,0,1,0,0,0
"Even though the sales data suggests a decline in our product popularity, I'm only going to focus on the positive customer reviews we've received, which indicate that our product is still loved and appreciated by many.",0,0,1,0,0,0
"Since all the research I've found only proves that a plant-based diet is healthier, I've decided to become a vegan and completely disregard any counterarguments.",0,0,1,0,0,0
"Even though there are numerous studies detailing the dangers of smoking, John, an avid smoker, chooses to only pay attention to research that suggests smoking can help with weight control and stress release.",0,0,1,0,0,0
"Despite all the recent studies showing negative effects of fast food, John decided to continue eating it daily because he only acknowledged the articles that highlighted its convenience and affordability.",0,0,1,0,0,0
"Despite several studies indicating potential health risks, John decided to continue his ketogenic diet, only focusing on the research that praised the diet for rapid weight loss.",0,0,1,0,0,0
"Since all the articles I've read affirm the benefits of a vegetarian diet, I've decided to switch to it and completely ignore the ones discussing the importance of meat in our meals.",0,0,1,0,0,0
