sentences,Neutral,OverconfidenceBias,ConfirmationBias,AnchoringBias,FramingBias,OccasionNoise
"After objectively considering the pros and cons of all available options, I believe it's in our best interest to invest in renewable energy resources, as it not only minimally impacts the environment but also promises a sustainable future.",1,0,0,0,0,0
"After reviewing all available data objectively, considering various perspectives, and eliminating any personal prejudices or cognitive biases, I've decided to make an investment in this start-up company as it shows the highest potential for sustainable growth and profitability.",1,0,0,0,0,0
"Influence or personal biases set aside, Jane's research paper on climate change was meticulously detailed, presenting factual data from reliable sources.",1,0,0,0,0,0
"Although I prefer the taste of coffee, I have to admit that tea also has its own unique and refreshing flavors.",1,0,0,0,0,0
"Despite my love for cats, I cannot deny that dogs make loyal and affectionate pets.",1,0,0,0,0,0
"I am checking the expiry date on food items in my pantry before deciding what to cook for dinner.",1,0,0,0,0,0
"I am measuring the dimensions of my living room before selecting a new couch.",1,0,0,0,0,0
"I am assessing the nutritional labels on food packaging to make healthier choices for my diet.",1,0,0,0,0,0
"I am examining the safety features of different car seats before purchasing one for my child.",1,0,0,0,0,0
"I considered multiple factors when choosing a new supplier for our company.",1,0,0,0,0,0
"The traffic congestion during peak hours is a common issue in urban areas.",1,0,0,0,0,0
"The customer reviews on the website provide valuable insights into product satisfaction.",1,0,0,0,0,0
"The decision to outsource the manufacturing process was based on a cost-benefit analysis.",1,0,0,0,0,0
"I remain impartial when resolving disputes between conflicting parties.",1,0,0,0,0,0
"I observe the traffic light changing from red to green before proceeding through the intersection.",1,0,0,0,0,0
"I refer to the user manual to troubleshoot any issues with the device.",1,0,0,0,0,0
"I believe in the power of education to empower individuals and foster growth.",1,0,0,0,0,0
"I appreciate the benefits of technology in improving efficiency and connectivity.",1,0,0,0,0,0
"I appreciate the importance of taking time for self-reflection and introspection.",1,0,0,0,0,0
"I conducted a SWOT analysis to evaluate the strengths, weaknesses, opportunities, and threats of a situation.",1,0,0,0,0,0
"I acknowledge that everyone has their own unique strengths and weaknesses.",1,0,0,0,0,0
"My approach to conflict resolution involves impartially mediating between conflicting parties and finding common ground.",1,0,0,0,0,0
"I understand that correlation does not necessarily imply causation and will avoid jumping to unwarranted conclusions.",1,0,0,0,0,0
"I understand the significance of objectivity in maintaining credibility and trust.",1,0,0,0,0,0
"I analyzed the performance metrics, user interface, and security features of different email services.",1,0,0,0,0,0
"The criteria for the selection process were clearly outlined.",1,0,0,0,0,0
"The analysis conducted was based on verifiable data.",1,0,0,0,0,0
"I acknowledge that the webpage layout needs to be optimized for better user experience.",1,0,0,0,0,0
"I notice that the traffic is heavier than usual during rush hour.",1,0,0,0,0,0
"I am aware that the new company policy requires all employees to attend a training session.",1,0,0,0,0,0
"I recognize that my colleague has a different opinion on this matter.",1,0,0,0,0,0
"I am aware that the company is undergoing restructuring to improve efficiency.",1,0,0,0,0,0
"Taking time to reflect on the situation will guide me to a balanced solution.",1,0,0,0,0,0
"I need to confirm the deadline for submitting the report.",1,0,0,0,0,0
"The meeting agenda was followed precisely to ensure efficiency.",1,0,0,0,0,0
"The action plan was developed with input from all relevant parties.",1,0,0,0,0,0
"I acknowledge that there are often multiple valid solutions to a problem.",1,0,0,0,0,0
"I followed the recipe exactly as stated to ensure accurate measurements.",1,0,0,0,0,0
"It is important to separate facts from assumptions when evaluating the situation.",1,0,0,0,0,0
"I acknowledge the complexity of the issue and will take a methodical approach to address it.",1,0,0,0,0,0
"I checked the expiration date before consuming the food item.",1,0,0,0,0,0
"I read the terms and conditions before signing the contract.",1,0,0,0,0,0
"I will give equal weight to all relevant information.",1,0,0,0,0,0
"I tend to be more introverted in social settings.",1,0,0,0,0,0
"I double-checked the survey data before presenting it to the team.",1,0,0,0,0,0
"I checked my bag to make sure I have all the necessary items before leaving the house.",1,0,0,0,0,0
"I measured the dimensions of the room for furniture placement.",1,0,0,0,0,0
"I recorded the temperature in the greenhouse as 75 degrees Fahrenheit.",1,0,0,0,0,0
"I will approach this situation with a mindset of curiosity and a desire to learn more.",1,0,0,0,0,0
"All team members were given equal opportunities to contribute.",1,0,0,0,0,0
"The training program was designed to meet specific objectives.",1,0,0,0,0,0
"I coordinated with different departments to streamline the workflow process.",1,0,0,0,0,0
"I implemented the suggestions provided by the customer to enhance the user experience.",1,0,0,0,0,0
"I will carefully evaluate the reliability of sources before relying on them.",1,0,0,0,0,0
"I prefer using reusable cloth bags instead of plastic bags for environmental reasons.",1,0,0,0,0,0
"I recognize the importance of diversity and inclusion in fostering innovation and growth.",1,0,0,0,0,0
"I will continuously monitor progress and adjust as needed.",1,0,0,0,0,0
"I prefer to weigh the facts before jumping to conclusions.",1,0,0,0,0,0
"I prefer to focus on finding solutions rather than placing blame.",1,0,0,0,0,0
"I am weighing the facts and making a rational assessment of the situation.",1,0,0,0,0,0
"I double-check information to ensure its reliability.",1,0,0,0,0,0
"I ensured that all variables were accounted for in my analysis.",1,0,0,0,0,0
"I paid my bills online.",1,0,0,0,0,0
"I maintained a clear and logical structure in my writing.",1,0,0,0,0,0
"I will consider alternative options before selecting a vendor.",1,0,0,0,0,0
"I work towards finding common ground in conflicting situations.",1,0,0,0,0,0
"I made a list of criteria to evaluate potential solutions.",1,0,0,0,0,0
"Upon reviewing the data and feedback from the recent project, it is evident that revisions need to be made to improve the final outcome.",1,0,0,0,0,0
"In order to enhance productivity, I will be implementing a new project management tool to streamline workflow processes.",1,0,0,0,0,0
"After receiving feedback from customers, I am considering making changes to the user interface of our website for improved usability.",1,0,0,0,0,0
"Based on the results of the survey conducted among employees, I am exploring ways to enhance employee engagement and satisfaction.",1,0,0,0,0,0
"I will be upfront about any limitations or uncertainties in my analysis.",1,0,0,0,0,0
"I will approach the situation with an open mind and a willingness to learn.",1,0,0,0,0,0
"I will take into account potential biases that may influence my thinking.",1,0,0,0,0,0
"I used a data-driven approach to determine the best course of action.",1,0,0,0,0,0
"I conducted a post-mortem analysis to evaluate the effectiveness of the project.",1,0,0,0,0,0
"I am approaching the situation with a rational mindset.",1,0,0,0,0,0
"After evaluating the facts, it appears that there are a variety of potential solutions to the issue.",1,0,0,0,0,0
"In light of the data provided, it is evident that there are multiple factors contributing to the situation.",1,0,0,0,0,0
"Based on the information provided, it seems that there are several possible outcomes to consider.",1,0,0,0,0,0
"In handling conflicts, I focus on finding common ground and effective resolution strategies.",1,0,0,0,0,0
"The data analysis revealed a clear correlation between the variables, highlighting a strong relationship.",1,0,0,0,0,0
